Year,Month,GEO,Type of fuel,Price
2001,December, Alberta,Regular unleaded gasoline at full service filling stations,48.7
2001,November, Alberta,Regular unleaded gasoline at full service filling stations,52.3
2001,October, Alberta,Regular unleaded gasoline at full service filling stations,58.8
2001,August, Alberta,Regular unleaded gasoline at full service filling stations,61.1
2001,July, Alberta,Regular unleaded gasoline at full service filling stations,62
2001,April, Alberta,Regular unleaded gasoline at full service filling stations,62.6
2001,March, Alberta,Regular unleaded gasoline at full service filling stations,63.4
2001,January, Alberta,Regular unleaded gasoline at full service filling stations,64.4
2001,February, Alberta,Regular unleaded gasoline at full service filling stations,66.9
2001,May, Alberta,Regular unleaded gasoline at full service filling stations,69.3
2001,June, Alberta,Regular unleaded gasoline at full service filling stations,69.9
2001,September, Alberta,Regular unleaded gasoline at full service filling stations,71.8
2001,December, British Columbia,Regular unleaded gasoline at full service filling stations,60.1
2001,November, British Columbia,Regular unleaded gasoline at full service filling stations,64.2
2001,August, British Columbia,Regular unleaded gasoline at full service filling stations,69.4
2001,March, British Columbia,Regular unleaded gasoline at full service filling stations,69.6
2001,July, British Columbia,Regular unleaded gasoline at full service filling stations,70.8
2001,January, British Columbia,Regular unleaded gasoline at full service filling stations,71.6
2001,February, British Columbia,Regular unleaded gasoline at full service filling stations,72.2
2001,May, British Columbia,Regular unleaded gasoline at full service filling stations,72.7
2001,October, British Columbia,Regular unleaded gasoline at full service filling stations,73
2001,April, British Columbia,Regular unleaded gasoline at full service filling stations,73.7
2001,September, British Columbia,Regular unleaded gasoline at full service filling stations,78.2
2001,June, British Columbia,Regular unleaded gasoline at full service filling stations,79.4
2001,December, Manitoba,Regular unleaded gasoline at full service filling stations,51.3
2001,November, Manitoba,Regular unleaded gasoline at full service filling stations,56.3
2001,January, Manitoba,Regular unleaded gasoline at full service filling stations,64.4
2001,April, Manitoba,Regular unleaded gasoline at full service filling stations,65.4
2001,March, Manitoba,Regular unleaded gasoline at full service filling stations,65.9
2001,July, Manitoba,Regular unleaded gasoline at full service filling stations,66.3
2001,October, Manitoba,Regular unleaded gasoline at full service filling stations,66.6
2001,August, Manitoba,Regular unleaded gasoline at full service filling stations,66.9
2001,February, Manitoba,Regular unleaded gasoline at full service filling stations,68.9
2001,May, Manitoba,Regular unleaded gasoline at full service filling stations,72.7
2001,September, Manitoba,Regular unleaded gasoline at full service filling stations,75.4
2001,June, Manitoba,Regular unleaded gasoline at full service filling stations,77
2001,November, New Brunswick,Regular unleaded gasoline at full service filling stations,62.7
2001,December, New Brunswick,Regular unleaded gasoline at full service filling stations,63.2
2001,October, New Brunswick,Regular unleaded gasoline at full service filling stations,68.6
2001,July, New Brunswick,Regular unleaded gasoline at full service filling stations,70.8
2001,August, New Brunswick,Regular unleaded gasoline at full service filling stations,71.3
2001,March, New Brunswick,Regular unleaded gasoline at full service filling stations,71.8
2001,September, New Brunswick,Regular unleaded gasoline at full service filling stations,71.9
2001,February, New Brunswick,Regular unleaded gasoline at full service filling stations,72.7
2001,January, New Brunswick,Regular unleaded gasoline at full service filling stations,73.5
2001,April, New Brunswick,Regular unleaded gasoline at full service filling stations,77
2001,June, New Brunswick,Regular unleaded gasoline at full service filling stations,77.6
2001,May, New Brunswick,Regular unleaded gasoline at full service filling stations,83.2
2001,December, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,70.9
2001,November, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,73.7
2001,October, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,78.7
2001,August, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,79.6
2001,July, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,80.3
2001,September, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,82.4
2001,January, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,83.6
2001,February, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,83.6
2001,March, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,83.6
2001,April, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,85.4
2001,June, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,87.6
2001,May, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,90.5
2001,December, Nova Scotia,Regular unleaded gasoline at full service filling stations,64.4
2001,November, Nova Scotia,Regular unleaded gasoline at full service filling stations,65.2
2001,October, Nova Scotia,Regular unleaded gasoline at full service filling stations,70.7
2001,August, Nova Scotia,Regular unleaded gasoline at full service filling stations,74
2001,July, Nova Scotia,Regular unleaded gasoline at full service filling stations,74.5
2001,September, Nova Scotia,Regular unleaded gasoline at full service filling stations,77.2
2001,March, Nova Scotia,Regular unleaded gasoline at full service filling stations,77.7
2001,January, Nova Scotia,Regular unleaded gasoline at full service filling stations,77.8
2001,February, Nova Scotia,Regular unleaded gasoline at full service filling stations,78
2001,June, Nova Scotia,Regular unleaded gasoline at full service filling stations,80.2
2001,April, Nova Scotia,Regular unleaded gasoline at full service filling stations,81.7
2001,May, Nova Scotia,Regular unleaded gasoline at full service filling stations,84.9
2001,December, Ontario,Regular unleaded gasoline at full service filling stations,59.6
2001,November, Ontario,Regular unleaded gasoline at full service filling stations,61.7
2001,July, Ontario,Regular unleaded gasoline at full service filling stations,65.3
2001,October, Ontario,Regular unleaded gasoline at full service filling stations,66.2
2001,August, Ontario,Regular unleaded gasoline at full service filling stations,67.4
2001,March, Ontario,Regular unleaded gasoline at full service filling stations,68.8
2001,February, Ontario,Regular unleaded gasoline at full service filling stations,70.9
2001,June, Ontario,Regular unleaded gasoline at full service filling stations,70.9
2001,September, Ontario,Regular unleaded gasoline at full service filling stations,71.4
2001,January, Ontario,Regular unleaded gasoline at full service filling stations,71.8
2001,April, Ontario,Regular unleaded gasoline at full service filling stations,77
2001,May, Ontario,Regular unleaded gasoline at full service filling stations,80.3
2001,December, Prince Edward Island,Regular unleaded gasoline at full service filling stations,63.3
2001,November, Prince Edward Island,Regular unleaded gasoline at full service filling stations,68.7
2001,September, Prince Edward Island,Regular unleaded gasoline at full service filling stations,70.7
2001,March, Prince Edward Island,Regular unleaded gasoline at full service filling stations,71.6
2001,February, Prince Edward Island,Regular unleaded gasoline at full service filling stations,71.9
2001,October, Prince Edward Island,Regular unleaded gasoline at full service filling stations,72.1
2001,April, Prince Edward Island,Regular unleaded gasoline at full service filling stations,74.1
2001,August, Prince Edward Island,Regular unleaded gasoline at full service filling stations,74.1
2001,May, Prince Edward Island,Regular unleaded gasoline at full service filling stations,76.4
2001,June, Prince Edward Island,Regular unleaded gasoline at full service filling stations,77.6
2001,July, Prince Edward Island,Regular unleaded gasoline at full service filling stations,77.6
2001,January, Prince Edward Island,Regular unleaded gasoline at full service filling stations,80.4
2001,December, Quebec,Regular unleaded gasoline at full service filling stations,58.1
2001,November, Quebec,Regular unleaded gasoline at full service filling stations,64.3
2001,July, Quebec,Regular unleaded gasoline at full service filling stations,69.9
2001,August, Quebec,Regular unleaded gasoline at full service filling stations,72.4
2001,October, Quebec,Regular unleaded gasoline at full service filling stations,72.9
2001,September, Quebec,Regular unleaded gasoline at full service filling stations,75.6
2001,January, Quebec,Regular unleaded gasoline at full service filling stations,77
2001,February, Quebec,Regular unleaded gasoline at full service filling stations,77.5
2001,March, Quebec,Regular unleaded gasoline at full service filling stations,78.7
2001,June, Quebec,Regular unleaded gasoline at full service filling stations,80.3
2001,April, Quebec,Regular unleaded gasoline at full service filling stations,81.5
2001,May, Quebec,Regular unleaded gasoline at full service filling stations,85.8
2001,December, Saskatchewan,Regular unleaded gasoline at full service filling stations,59.3
2001,November, Saskatchewan,Regular unleaded gasoline at full service filling stations,64.7
2001,April, Saskatchewan,Regular unleaded gasoline at full service filling stations,68.8
2001,March, Saskatchewan,Regular unleaded gasoline at full service filling stations,70.8
2001,October, Saskatchewan,Regular unleaded gasoline at full service filling stations,71.6
2001,July, Saskatchewan,Regular unleaded gasoline at full service filling stations,72.6
2001,January, Saskatchewan,Regular unleaded gasoline at full service filling stations,72.7
2001,August, Saskatchewan,Regular unleaded gasoline at full service filling stations,72.8
2001,February, Saskatchewan,Regular unleaded gasoline at full service filling stations,74.8
2001,May, Saskatchewan,Regular unleaded gasoline at full service filling stations,78
2001,June, Saskatchewan,Regular unleaded gasoline at full service filling stations,81
2001,September, Saskatchewan,Regular unleaded gasoline at full service filling stations,82.6
2002,January, Alberta,Regular unleaded gasoline at full service filling stations,49.9
2002,February, Alberta,Regular unleaded gasoline at full service filling stations,54.2
2002,March, Alberta,Regular unleaded gasoline at full service filling stations,61.3
2002,May, Alberta,Regular unleaded gasoline at full service filling stations,66.1
2002,April, Alberta,Regular unleaded gasoline at full service filling stations,67.2
2002,December, Alberta,Regular unleaded gasoline at full service filling stations,67.3
2002,June, Alberta,Regular unleaded gasoline at full service filling stations,68.1
2002,November, Alberta,Regular unleaded gasoline at full service filling stations,69.3
2002,July, Alberta,Regular unleaded gasoline at full service filling stations,69.5
2002,October, Alberta,Regular unleaded gasoline at full service filling stations,70.2
2002,September, Alberta,Regular unleaded gasoline at full service filling stations,70.3
2002,August, Alberta,Regular unleaded gasoline at full service filling stations,70.8
2002,February, British Columbia,Regular unleaded gasoline at full service filling stations,59.7
2002,January, British Columbia,Regular unleaded gasoline at full service filling stations,60.3
2002,March, British Columbia,Regular unleaded gasoline at full service filling stations,68
2002,December, British Columbia,Regular unleaded gasoline at full service filling stations,72.8
2002,April, British Columbia,Regular unleaded gasoline at full service filling stations,73.3
2002,May, British Columbia,Regular unleaded gasoline at full service filling stations,75.2
2002,June, British Columbia,Regular unleaded gasoline at full service filling stations,75.3
2002,July, British Columbia,Regular unleaded gasoline at full service filling stations,76
2002,August, British Columbia,Regular unleaded gasoline at full service filling stations,76
2002,November, British Columbia,Regular unleaded gasoline at full service filling stations,77.7
2002,September, British Columbia,Regular unleaded gasoline at full service filling stations,78.6
2002,October, British Columbia,Regular unleaded gasoline at full service filling stations,79.6
2002,January, Manitoba,Regular unleaded gasoline at full service filling stations,54
2002,February, Manitoba,Regular unleaded gasoline at full service filling stations,55.5
2002,December, Manitoba,Regular unleaded gasoline at full service filling stations,61.5
2002,March, Manitoba,Regular unleaded gasoline at full service filling stations,62.5
2002,October, Manitoba,Regular unleaded gasoline at full service filling stations,63.2
2002,May, Manitoba,Regular unleaded gasoline at full service filling stations,65.2
2002,June, Manitoba,Regular unleaded gasoline at full service filling stations,66
2002,November, Manitoba,Regular unleaded gasoline at full service filling stations,66.9
2002,April, Manitoba,Regular unleaded gasoline at full service filling stations,67.4
2002,September, Manitoba,Regular unleaded gasoline at full service filling stations,68.3
2002,July, Manitoba,Regular unleaded gasoline at full service filling stations,68.8
2002,August, Manitoba,Regular unleaded gasoline at full service filling stations,69.4
2002,February, New Brunswick,Regular unleaded gasoline at full service filling stations,65.3
2002,January, New Brunswick,Regular unleaded gasoline at full service filling stations,65.8
2002,March, New Brunswick,Regular unleaded gasoline at full service filling stations,71.5
2002,June, New Brunswick,Regular unleaded gasoline at full service filling stations,75.3
2002,May, New Brunswick,Regular unleaded gasoline at full service filling stations,75.5
2002,July, New Brunswick,Regular unleaded gasoline at full service filling stations,76.1
2002,April, New Brunswick,Regular unleaded gasoline at full service filling stations,76.5
2002,August, New Brunswick,Regular unleaded gasoline at full service filling stations,77.7
2002,September, New Brunswick,Regular unleaded gasoline at full service filling stations,78
2002,December, New Brunswick,Regular unleaded gasoline at full service filling stations,79.1
2002,November, New Brunswick,Regular unleaded gasoline at full service filling stations,79.6
2002,October, New Brunswick,Regular unleaded gasoline at full service filling stations,79.7
2002,January, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,72
2002,February, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,73
2002,March, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,74.1
2002,April, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,79
2002,July, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,80.3
2002,June, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,80.4
2002,May, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,82
2002,August, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,82.3
2002,September, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,83.6
2002,December, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,83.9
2002,October, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,84.4
2002,November, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,85.9
2002,January, Nova Scotia,Regular unleaded gasoline at full service filling stations,64.3
2002,February, Nova Scotia,Regular unleaded gasoline at full service filling stations,66.7
2002,March, Nova Scotia,Regular unleaded gasoline at full service filling stations,70.2
2002,June, Nova Scotia,Regular unleaded gasoline at full service filling stations,76.5
2002,May, Nova Scotia,Regular unleaded gasoline at full service filling stations,76.8
2002,July, Nova Scotia,Regular unleaded gasoline at full service filling stations,77.4
2002,April, Nova Scotia,Regular unleaded gasoline at full service filling stations,78.1
2002,December, Nova Scotia,Regular unleaded gasoline at full service filling stations,79.4
2002,September, Nova Scotia,Regular unleaded gasoline at full service filling stations,80.2
2002,November, Nova Scotia,Regular unleaded gasoline at full service filling stations,80.2
2002,August, Nova Scotia,Regular unleaded gasoline at full service filling stations,80.3
2002,October, Nova Scotia,Regular unleaded gasoline at full service filling stations,81.2
2002,January, Ontario,Regular unleaded gasoline at full service filling stations,60.5
2002,February, Ontario,Regular unleaded gasoline at full service filling stations,61.9
2002,June, Ontario,Regular unleaded gasoline at full service filling stations,67.8
2002,March, Ontario,Regular unleaded gasoline at full service filling stations,68
2002,July, Ontario,Regular unleaded gasoline at full service filling stations,70.2
2002,May, Ontario,Regular unleaded gasoline at full service filling stations,70.3
2002,December, Ontario,Regular unleaded gasoline at full service filling stations,71.4
2002,August, Ontario,Regular unleaded gasoline at full service filling stations,71.5
2002,September, Ontario,Regular unleaded gasoline at full service filling stations,71.5
2002,November, Ontario,Regular unleaded gasoline at full service filling stations,71.8
2002,October, Ontario,Regular unleaded gasoline at full service filling stations,73.3
2002,April, Ontario,Regular unleaded gasoline at full service filling stations,73.4
2002,January, Prince Edward Island,Regular unleaded gasoline at full service filling stations,60.6
2002,February, Prince Edward Island,Regular unleaded gasoline at full service filling stations,60.6
2002,March, Prince Edward Island,Regular unleaded gasoline at full service filling stations,61.1
2002,April, Prince Edward Island,Regular unleaded gasoline at full service filling stations,66.8
2002,July, Prince Edward Island,Regular unleaded gasoline at full service filling stations,69.5
2002,June, Prince Edward Island,Regular unleaded gasoline at full service filling stations,70.1
2002,May, Prince Edward Island,Regular unleaded gasoline at full service filling stations,72.1
2002,August, Prince Edward Island,Regular unleaded gasoline at full service filling stations,72.6
2002,September, Prince Edward Island,Regular unleaded gasoline at full service filling stations,74.2
2002,October, Prince Edward Island,Regular unleaded gasoline at full service filling stations,75.3
2002,December, Prince Edward Island,Regular unleaded gasoline at full service filling stations,75.8
2002,November, Prince Edward Island,Regular unleaded gasoline at full service filling stations,77.6
2002,January, Quebec,Regular unleaded gasoline at full service filling stations,62.5
2002,February, Quebec,Regular unleaded gasoline at full service filling stations,64.3
2002,March, Quebec,Regular unleaded gasoline at full service filling stations,70.6
2002,December, Quebec,Regular unleaded gasoline at full service filling stations,71.5
2002,June, Quebec,Regular unleaded gasoline at full service filling stations,73.7
2002,July, Quebec,Regular unleaded gasoline at full service filling stations,73.7
2002,November, Quebec,Regular unleaded gasoline at full service filling stations,75
2002,April, Quebec,Regular unleaded gasoline at full service filling stations,75.3
2002,May, Quebec,Regular unleaded gasoline at full service filling stations,75.9
2002,August, Quebec,Regular unleaded gasoline at full service filling stations,75.9
2002,September, Quebec,Regular unleaded gasoline at full service filling stations,76.9
2002,October, Quebec,Regular unleaded gasoline at full service filling stations,77.6
2002,February, Saskatchewan,Regular unleaded gasoline at full service filling stations,62
2002,January, Saskatchewan,Regular unleaded gasoline at full service filling stations,63.9
2002,March, Saskatchewan,Regular unleaded gasoline at full service filling stations,68.9
2002,May, Saskatchewan,Regular unleaded gasoline at full service filling stations,72.3
2002,December, Saskatchewan,Regular unleaded gasoline at full service filling stations,73.6
2002,April, Saskatchewan,Regular unleaded gasoline at full service filling stations,74.1
2002,June, Saskatchewan,Regular unleaded gasoline at full service filling stations,74.9
2002,November, Saskatchewan,Regular unleaded gasoline at full service filling stations,75.4
2002,July, Saskatchewan,Regular unleaded gasoline at full service filling stations,76.4
2002,August, Saskatchewan,Regular unleaded gasoline at full service filling stations,78.1
2002,September, Saskatchewan,Regular unleaded gasoline at full service filling stations,78.2
2002,October, Saskatchewan,Regular unleaded gasoline at full service filling stations,78.2
2003,December, Alberta,Regular unleaded gasoline at full service filling stations,61.1
2003,November, Alberta,Regular unleaded gasoline at full service filling stations,63.5
2003,May, Alberta,Regular unleaded gasoline at full service filling stations,65.8
2003,October, Alberta,Regular unleaded gasoline at full service filling stations,66.7
2003,June, Alberta,Regular unleaded gasoline at full service filling stations,67.2
2003,July, Alberta,Regular unleaded gasoline at full service filling stations,68
2003,April, Alberta,Regular unleaded gasoline at full service filling stations,69
2003,January, Alberta,Regular unleaded gasoline at full service filling stations,69.1
2003,August, Alberta,Regular unleaded gasoline at full service filling stations,72.2
2003,September, Alberta,Regular unleaded gasoline at full service filling stations,73.2
2003,February, Alberta,Regular unleaded gasoline at full service filling stations,73.4
2003,March, Alberta,Regular unleaded gasoline at full service filling stations,75.9
2003,October, British Columbia,Regular unleaded gasoline at full service filling stations,73.4
2003,December, British Columbia,Regular unleaded gasoline at full service filling stations,73.9
2003,May, British Columbia,Regular unleaded gasoline at full service filling stations,75.2
2003,November, British Columbia,Regular unleaded gasoline at full service filling stations,75.2
2003,July, British Columbia,Regular unleaded gasoline at full service filling stations,75.4
2003,June, British Columbia,Regular unleaded gasoline at full service filling stations,76.2
2003,January, British Columbia,Regular unleaded gasoline at full service filling stations,76.7
2003,April, British Columbia,Regular unleaded gasoline at full service filling stations,81.2
2003,February, British Columbia,Regular unleaded gasoline at full service filling stations,82.4
2003,September, British Columbia,Regular unleaded gasoline at full service filling stations,83.8
2003,August, British Columbia,Regular unleaded gasoline at full service filling stations,86.6
2003,March, British Columbia,Regular unleaded gasoline at full service filling stations,90.6
2003,December, Manitoba,Regular unleaded gasoline at full service filling stations,61.9
2003,June, Manitoba,Regular unleaded gasoline at full service filling stations,63.6
2003,November, Manitoba,Regular unleaded gasoline at full service filling stations,63.6
2003,May, Manitoba,Regular unleaded gasoline at full service filling stations,64.2
2003,October, Manitoba,Regular unleaded gasoline at full service filling stations,64.9
2003,July, Manitoba,Regular unleaded gasoline at full service filling stations,67.4
2003,January, Manitoba,Regular unleaded gasoline at full service filling stations,68.1
2003,August, Manitoba,Regular unleaded gasoline at full service filling stations,69.3
2003,April, Manitoba,Regular unleaded gasoline at full service filling stations,69.8
2003,September, Manitoba,Regular unleaded gasoline at full service filling stations,73.6
2003,February, Manitoba,Regular unleaded gasoline at full service filling stations,75.7
2003,March, Manitoba,Regular unleaded gasoline at full service filling stations,76.9
2003,May, New Brunswick,Regular unleaded gasoline at full service filling stations,74.6
2003,June, New Brunswick,Regular unleaded gasoline at full service filling stations,76.6
2003,November, New Brunswick,Regular unleaded gasoline at full service filling stations,77.1
2003,December, New Brunswick,Regular unleaded gasoline at full service filling stations,77.7
2003,July, New Brunswick,Regular unleaded gasoline at full service filling stations,78
2003,October, New Brunswick,Regular unleaded gasoline at full service filling stations,78.2
2003,April, New Brunswick,Regular unleaded gasoline at full service filling stations,81.1
2003,August, New Brunswick,Regular unleaded gasoline at full service filling stations,82.2
2003,January, New Brunswick,Regular unleaded gasoline at full service filling stations,85
2003,September, New Brunswick,Regular unleaded gasoline at full service filling stations,85.1
2003,March, New Brunswick,Regular unleaded gasoline at full service filling stations,89.9
2003,February, New Brunswick,Regular unleaded gasoline at full service filling stations,90.2
2003,June, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,82
2003,July, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,82.3
2003,May, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,83.2
2003,December, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,83.3
2003,November, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,83.9
2003,August, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,84.5
2003,October, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,84.8
2003,April, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,86.6
2003,January, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,87.2
2003,February, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,89.2
2003,September, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,91.1
2003,March, Newfoundland and Labrador,Regular unleaded gasoline at full service filling stations,92.1
2003,May, Nova Scotia,Regular unleaded gasoline at full service filling stations,74.4
2003,November, Nova Scotia,Regular unleaded gasoline at full service filling stations,74.9
2003,June, Nova Scotia,Regular unleaded gasoline at full service filling stations,76.1
2003,December, Nova Scotia,Regular unleaded gasoline at full service filling stations,76.8
2003,October, Nova Scotia,Regular unleaded gasoline at full service filling stations,77.7
2003,July, Nova Scotia,Regular unleaded gasoline at full service filling stations,79.5
2003,April, Nova Scotia,Regular unleaded gasoline at full service filling stations,81.2
2003,September, Nova Scotia,Regular unleaded gasoline at full service filling stations,84.6
2003,August, Nova Scotia,Regular unleaded gasoline at full service filling stations,84.9
2003,January, Nova Scotia,Regular unleaded gasoline at full service filling stations,85.4
2003,March, Nova Scotia,Regular unleaded gasoline at full service filling stations,88.6
2003,February, Nova Scotia,Regular unleaded gasoline at full service filling stations,88.9
2003,May, Ontario,Regular unleaded gasoline at full service filling stations,67.1
2003,June, Ontario,Regular unleaded gasoline at full service filling stations,68.2
2003,July, Ontario,Regular unleaded gasoline at full service filling stations,68.2
2003,December, Ontario,Regular unleaded gasoline at full service filling stations,68.6
2003,November, Ontario,Regular unleaded gasoline at full service filling stations,69.5
2003,October, Ontario,Regular unleaded gasoline at full service filling stations,71.9
2003,April, Ontario,Regular unleaded gasoline at full service filling stations,73
2003,September, Ontario,Regular unleaded gasoline at full service filling stations,74.6
2003,January, Ontario,Regular unleaded gasoline at full service filling stations,75
2003,August, Ontario,Regular unleaded gasoline at full service filling stations,76.1
2003,March, Ontario,Regular unleaded gasoline at full service filling stations,79.7
2003,February, Ontario,Regular unleaded gasoline at full service filling stations,80.9
2003,December, Prince Edward Island,Regular unleaded gasoline at full service filling stations,70.5
2003,July, Prince Edward Island,Regular unleaded gasoline at full service filling stations,70.6
2003,June, Prince Edward Island,Regular unleaded gasoline at full service filling stations,70.7
2003,November, Prince Edward Island,Regular unleaded gasoline at full service filling stations,72.7
2003,August, Prince Edward Island,Regular unleaded gasoline at full service filling stations,72.9
2003,January, Prince Edward Island,Regular unleaded gasoline at full service filling stations,74.7
2003,May, Prince Edward Island,Regular unleaded gasoline at full service filling stations,75.3
2003,October, Prince Edward Island,Regular unleaded gasoline at full service filling stations,76.4
2003,September, Prince Edward Island,Regular unleaded gasoline at full service filling stations,78.2
2003,February, Prince Edward Island,Regular unleaded gasoline at full service filling stations,79.7
2003,April, Prince Edward Island,Regular unleaded gasoline at full service filling stations,83.4
2003,March, Prince Edward Island,Regular unleaded gasoline at full service filling stations,85
2003,November, Quebec,Regular unleaded gasoline at full service filling stations,72
2003,May, Quebec,Regular unleaded gasoline at full service filling stations,72.4
2003,June, Quebec,Regular unleaded gasoline at full service filling stations,73.6
2003,December, Quebec,Regular unleaded gasoline at full service filling stations,74.1
2003,July, Quebec,Regular unleaded gasoline at full service filling stations,75.9
2003,October, Quebec,Regular unleaded gasoline at full service filling stations,76.7
2003,January, Quebec,Regular unleaded gasoline at full service filling stations,78
2003,April, Quebec,Regular unleaded gasoline at full service filling stations,78.7
2003,September, Quebec,Regular unleaded gasoline at full service filling stations,80.4
2003,August, Quebec,Regular unleaded gasoline at full service filling stations,82.7
2003,February, Quebec,Regular unleaded gasoline at full service filling stations,85.9
2003,March, Quebec,Regular unleaded gasoline at full service filling stations,87.2
2003,May, Saskatchewan,Regular unleaded gasoline at full service filling stations,69
2003,December, Saskatchewan,Regular unleaded gasoline at full service filling stations,70.5
2003,November, Saskatchewan,Regular unleaded gasoline at full service filling stations,71.5
2003,April, Saskatchewan,Regular unleaded gasoline at full service filling stations,72.9
2003,June, Saskatchewan,Regular unleaded gasoline at full service filling stations,74
2003,July, Saskatchewan,Regular unleaded gasoline at full service filling stations,76
