Year,Month,GEO,Vehicle type,Number Of Sales
2001,January,Alberta,Passenger cars,4263
2001,January,Alberta,Trucks,8102
2001,January,British Columbia,Passenger cars,5005
2001,January,British Columbia,Trucks,5595
2001,January,Manitoba,Passenger cars,1106
2001,January,Manitoba,Trucks,1703
2001,January,New Brunswick,Passenger cars,983
2001,January,New Brunswick,Trucks,1104
2001,January,Newfoundland and Labrador,Passenger cars,571
2001,January,Newfoundland and Labrador,Trucks,492
2001,January,Nova Scotia,Passenger cars,1236
2001,January,Nova Scotia,Trucks,1206
2001,January,Ontario,Passenger cars,22022
2001,January,Ontario,Trucks,19351
2001,January,Prince Edward Island,Passenger cars,116
2001,January,Prince Edward Island,Trucks,137
2001,January,Quebec,Passenger cars,12579
2001,January,Quebec,Trucks,8667
2001,January,Saskatchewan,Passenger cars,901
2001,January,Saskatchewan,Trucks,1652
2001,February,Alberta,Passenger cars,3604
2001,February,Alberta,Trucks,6628
2001,February,British Columbia,Passenger cars,5012
2001,February,British Columbia,Trucks,5701
2001,February,Manitoba,Passenger cars,850
2001,February,Manitoba,Trucks,1448
2001,February,New Brunswick,Passenger cars,992
2001,February,New Brunswick,Trucks,1016
2001,February,Newfoundland and Labrador,Passenger cars,559
2001,February,Newfoundland and Labrador,Trucks,504
2001,February,Nova Scotia,Passenger cars,1133
2001,February,Nova Scotia,Trucks,1080
2001,February,Ontario,Passenger cars,19322
2001,February,Ontario,Trucks,16843
2001,February,Prince Edward Island,Passenger cars,92
2001,February,Prince Edward Island,Trucks,95
2001,February,Quebec,Passenger cars,13381
2001,February,Quebec,Trucks,8796
2001,February,Saskatchewan,Passenger cars,755
2001,February,Saskatchewan,Trucks,1348
2001,March,Alberta,Passenger cars,5653
2001,March,Alberta,Trucks,10928
2001,March,British Columbia,Passenger cars,7118
2001,March,British Columbia,Trucks,8456
2001,March,Manitoba,Passenger cars,1512
2001,March,Manitoba,Trucks,2172
2001,March,New Brunswick,Passenger cars,1846
2001,March,New Brunswick,Trucks,1679
2001,March,Newfoundland and Labrador,Passenger cars,1379
2001,March,Newfoundland and Labrador,Trucks,944
2001,March,Nova Scotia,Passenger cars,2152
